circular1Timestamp;circular1XPos;circular1YPos;circular1newCorr;circular1smoothCorr
0;;;0;0
63628064691.337;;;0;0
0.3153344;;;0;0
0.3243579;;;0;0
0.3303741;;;0;0
0.3383953;;;0;0
0.3529337;;;0;0
0.360955;;;0;0
0.3724858;;;0;0
0.3835149;;;0;0
0.3945442;;;0;0
0.405573;;;0;0
0.416602;;;0;0
0.4276314;;;0;0
0.4391619;;;0;0
0.4501912;;;0;0
0.4612203;;;0;0
0.4727509;;;0;0
0.4837805;;;0;0
0.4948095;;;0;0
0.5063396;;;0;0
0.5173689;;;0;0
0.5283982;;;0;0
0.5394273;;;0;0
0.5509579;;;0;0
0.5619869;;;0;0
0.5730162;;;0;0
0.5845478;;;0;0
0.5955764;;;0;0
0.606606;;;0;0
0.6181358;;;0;0
0.6291651;;;0;0
0.6401947;;;0;0
0.651223;;;0;0
0.6622525;;;0;0
0.6732816;;;0;0
0.6848124;;;0;0
0.6958415;;;0;0
0.7068703;;;0;0
0.7178993;;;0;0
0.7294302;;;0;0
0.7404597;;;0;0
0.7514896;;;0;0
0.7625184;;;0;0
0.7740492;;;0;0
0.7850778;;;0;0
0.7966089;;;0;0
0.8076369;;;0;0
0.818666;;;0;0
0.8301978;;;0;0
0.8412266;;;0;0
0.8522567;;;0;0
0.8632842;;;0;0
0.8748145;;;0;0
0.8858451;;;0;0
0.8968727;;;0;0
0.9079022;;;0;0
0.9194341;;;0;0
0.9304629;;;0;0
0.941492;;;0;0
0.9530225;;;0;0
0.9640516;;;0;0
0.9755814;;;0;0
0.9866112;;;0;0
0.9971643;;;0;0
1.0086691;;;0;0
1.0201992;;;0;0
1.0312287;;;0;0
1.0422591;;;0;0
1.0532869;;;0;0
1.0648185;;;0;0
1.0758473;;;0;0
1.0873771;;;0;0
1.0989079;;;0;0
1.109938;;;0;0
1.1209666;;;0;0
1.1324966;;;0;0
1.1430247;;;0;0
1.154555;;;0;0
1.1655846;;;0;0
1.1776162;;;0;0
1.1876427;;;0;0
1.198672;;;0;0
1.2102023;;;0;0
1.2212314;;;0;0
1.2322612;;;0;0
1.24329;;;0;0
1.2543191;;;0;0
1.2658502;;;0;0
1.2768787;;;0;0
1.287908;;;0;0
1.2989371;;;0;0
1.3099662;;;0;0
1.321497;;;0;0
1.3340304;;;0;0
1.3435549;;;0;0
1.3550857;;;0;0
1.3661148;;;0;0
1.3771438;;;0;0
1.3886746;;;0;0
1.3997037;;;0;0
1.4107328;;;0;0
1.4217621;;;0;0
1.4332937;;;0;0
1.4443227;;;0;0
1.4558523;;;0;0
1.4663801;;;0;0
1.4779117;;;0;0
1.488941;;;0;0
1.4999688;;;0;0
1.5115009;;;0;0
1.5225284;;;0;0
1.533558;;;0;0
1.5445873;;;0;0
1.5561187;;;0;0
1.5671467;;;0;0
1.5781768;;;0;0
1.5897066;;;0;0
1.6007372;;;0;0
1.6117647;;;0;0
1.6227956;;;0;0
1.6343249;;;0;0
1.6453537;;;0;0
1.656383;;;0;0
1.6679136;;;0;0
1.6789426;;;0;0
1.690473;;;0;0
1.7015025;;;0;0
1.7125313;;;0;0
1.7240619;;;0;0
1.7345897;;;0;0
1.7461203;;;0;0
1.7571496;;;0;0
1.7681789;;;0;0
1.779208;;;0;0
1.7907383;;;0;0
1.8017676;;;0;0
1.8132985;;;0;0
