lineargazeTimestamp;lineargazeXPos;lineargazeYPos;lineargazenewCorr;lineargazesmoothCorr
168.335;0.3685703;0.6028026;;
168.335;0.3685703;0.6028026;;
168.336;0.3685703;0.6028026;;
168.336;0.3688772;0.6041372;;
168.365;0.3688772;0.6041372;;
168.366;0.3691561;0.6054783;;
168.366;0.369284;0.6065271;;
168.368;0.369284;0.6065271;;
168.37;0.369284;0.6065271;;
168.371;0.3693099;0.6075592;;
168.398;0.3694183;0.6077635;;
168.4;0.3694183;0.6077635;;
168.401;0.3693039;0.608041;;
168.401;0.3693039;0.608041;;
168.402;0.3693039;0.608041;;
168.403;0.3690947;0.6078285;;
168.433;0.3690235;0.6062891;;
168.434;0.3690235;0.6062891;;
168.435;0.3690235;0.6062891;;
168.436;0.3689193;0.6044313;;
168.437;0.3689609;0.6027609;;
168.467;0.3689609;0.6027609;;
168.467;0.3689609;0.6027609;;
168.468;0.3689637;0.6012053;;
168.47;0.3682024;0.5999416;;
168.5;0.3503157;0.6033969;;
168.502;0.3215927;0.6199404;;
168.504;0.2841681;0.6448162;;
168.505;0.2841681;0.6448162;;
168.534;0.2841681;0.6448162;;
168.536;0.2841681;0.6448162;;
168.538;0.246078;0.6923994;;
168.539;0.246078;0.6923994;;
168.572;0.2254475;0.737415
168.605;0.2254475;0.737415
168.607;0.2254475;0.737415
168.638;0.2254475;0.737415
168.64;0.2254475;0.737415
168.642;0.2124793;0.7717088
168.672;0.2124793;0.7717088
168.674;0.2124793;0.7717088
168.398;0.3694183;0.6077635;;
168.4;0.3694183;0.6077635;;
168.401;0.3693039;0.608041;;
168.401;0.3693039;0.608041;;
168.402;0.3693039;0.608041;;
168.403;0.3690947;0.6078285;;
168.433;0.3690235;0.6062891;;
168.434;0.3690235;0.6062891;;
168.435;0.3690235;0.6062891;;
168.436;0.3689193;0.6044313;;
168.437;0.3689609;0.6027609;;
168.467;0.3689609;0.6027609;;
168.467;0.3689609;0.6027609;;
168.468;0.3689637;0.6012053;;
168.47;0.3682024;0.5999416;;
168.5;0.3503157;0.6033969;;
168.502;0.3215927;0.6199404;;
168.504;0.2841681;0.6448162;;
168.505;0.2841681;0.6448162;;
168.534;0.2841681;0.6448162;;
168.536;0.2841681;0.6448162;;
168.538;0.246078;0.6923994;;
168.539;0.246078;0.6923994;;
168.54;0.2254475;0.737415;;
168.572;0.2254475;0.737415;;
168.605;0.2254475;0.737415;;
168.607;0.2254475;0.737415;;
168.638;0.2254475;0.737415;;
168.64;0.2254475;0.737415;;
168.642;0.2124793;0.7717088;;
168.672;0.2124793;0.7717088;;
168.674;0.2124793;0.7717088;;
168.398;0.3694183;0.6077635;;
168.4;0.3694183;0.6077635;;
168.401;0.3693039;0.608041;;
168.401;0.3693039;0.608041;;
168.402;0.3693039;0.608041;;
168.403;0.3690947;0.6078285;;
168.433;0.3690235;0.6062891;;
168.434;0.3690235;0.6062891;;
168.435;0.3690235;0.6062891;;
168.436;0.3689193;0.6044313;;
168.437;0.3689609;0.6027609;;
168.467;0.3689609;0.6027609;;
168.467;0.3689609;0.6027609;;
168.468;0.3689637;0.6012053;;
168.47;0.3682024;0.5999416;;
168.5;0.3503157;0.6033969;;
168.502;0.3215927;0.6199404;;
168.504;0.2841681;0.6448162;;
168.505;0.2841681;0.6448162;;
168.534;0.2841681;0.6448162;;
168.536;0.2841681;0.6448162;;
168.538;0.246078;0.6923994;;
168.539;0.246078;0.6923994;;
168.54;0.2254475;0.737415;;
168.572;0.2254475;0.737415;;
168.605;0.2254475;0.737415;;
168.607;0.2254475;0.737415;;
168.638;0.2254475;0.737415;;
168.64;0.2254475;0.737415;;
168.642;0.2124793;0.7717088;;
168.672;0.2124793;0.7717088;;
168.674;0.2124793;0.7717088;;
